observation_date,SanFrancisco_HPI,LosAngeles_HPI,Seattle_HPI,SanDiego_HPI,Chicago_HPI,Dallas_HPI,NewYork_HPI,Phoenix_HPI,Boston_HPI,Miami_HPI,Denver_HPI,Atlanta_HPI,LasVegas_HPI,Tampa_HPI,Portland_HPI,Washington_HPI,Charlotte_HPI,Detroit_HPI,Minneapolis_HPI,Cleveland_HPI
2009-03-01,121.088254728702,163.739733670639,152.262485827111,146.577216669327,127.336231277529,114.790197413672,176.18840029114202,108.707880382665,149.671895896814,150.428666980387,123.314898798451,108.069736920234,117.809215837754,144.10423498006398,150.999438667544,169.88431050647898,120.94192875592,73.13808388238301,113.75344314469,99.896394797364
2009-04-01,120.16983075784,161.545137249465,150.46439973328398,145.713768178646,125.863026922177,115.331909051498,173.39655994087602,106.132661301411,148.790685546595,147.913365318964,123.738356801629,107.308438965786,113.464040857671,142.434081719069,148.861987750907,169.574269173315,119.566363422907,72.20204827258199,113.208111275853,99.661143575784
2009-05-01,119.866443134798,159.836774424798,148.55847063362,145.389985724141,125.799301165419,116.115563058404,172.861804993466,104.267814813068,149.16408670399,145.67288988843902,124.023323367658,106.132671592487,110.229461996628,140.983151197137,146.966841256175,170.030173667322,119.490464459156,71.668773916351,112.617656940651,102.133876838219
2009-06-01,123.341774079239,160.311517213698,147.850366775548,146.46797610736,124.519753418236,117.815690459012,172.248850116922,104.655036791478,150.84124820025295,145.945414692857,125.274072525938,105.854016492425,107.569229604958,140.391240436978,147.333658553622,171.767203418789,119.075094741995,69.90491059794,113.774898644867,104.753881397017
2009-07-01,126.156876003079,162.211856889851,147.12019143096,148.885083265199,125.923839765284,118.682136075951,172.29377898110698,105.790333899294,151.36891800077498,146.344571815154,126.288530905797,107.097081982434,105.891016009045,140.861948043514,147.651634387393,173.60034889938,119.282047181182,69.30965862425,116.737605977889,105.527985004025
2009-08-01,129.235484529855,164.25958517533,146.968545985307,151.030792400268,126.639735956118,118.922880694943,172.31530454251703,107.05112842698,152.392099336627,147.323393701819,127.028330586738,107.919283705331,104.955623366114,141.410199083279,147.880382438656,175.73967552871602,118.706394892326,69.667699499391,119.170194273331,104.381079652458
2009-09-01,131.55779843999,165.529877334183,146.631377265943,152.718484262784,128.166141507048,118.894436497062,172.425306217515,108.121869580404,152.802838320573,148.344998574514,127.282879645861,108.743332463298,103.817840635941,140.303519044451,147.576135496043,177.402171609222,118.433797308934,70.600791568158,121.082679521317,103.921947184158
2009-10-01,134.02842615775,166.889437461593,147.588023462557,154.224734756024,127.569035004895,119.094491829665,172.383270597164,109.381572094531,153.14511200949698,148.330461250072,127.592378747589,109.166424337402,103.567596581569,139.057139449005,148.149280507228,178.097009801041,118.592823674747,71.404899698596,121.612674042777,103.892834143901
2009-11-01,136.120302751629,168.919138537511,147.961965091084,155.783885955476,127.765105746685,120.211610342786,171.769221923004,110.88876212122,154.079945824655,148.217914461671,127.994342388878,109.793454339585,103.558917544458,139.028132523641,149.646404430016,178.584235345973,118.971929254126,71.607764992809,122.18572910721,104.529349759675
2009-12-01,137.029497364841,171.586622828111,148.573284506567,157.043901679575,127.121747978826,120.141633613939,171.967523744437,112.119433579279,154.83530662230498,148.14103427573798,128.070533170408,109.837898628737,104.224002712156,138.883433591598,150.21386109786502,179.792043518974,118.96528173188,72.07792094188798,122.793709572588,104.374246532381
2010-01-01,138.495635414811,174.441687549588,148.047184308989,159.070005317218,126.838653528542,119.619720427309,172.359858227347,112.542469126072,154.978312169653,148.347207323381,127.895143918339,109.269819885893,104.072159981593,139.662877654276,149.58027683010098,179.971299896877,118.8002467921,72.14071298027798,123.852590399298,105.231363912485
